id,name,category,displayCategory,needTags,situationTags,supportTags,eligibility,provider,catchment,referral,description,link,linkLabel,source,confidence
directory-homelessness-launch-housing,Launch Housing,Homelessness,Housing,housing; financial-legal,urgent; homelessness,crisis,"People experiencing homelessness, rough sleeping or housing stress across Greater Melbourne.",Launch Housing,Greater Melbourne,"For homelessness help call 1800 825 955. Use Launch Housing Get Help pages for crisis accommodation, rental support, women's services and rough sleeping outreach.","Melbourne homelessness and community housing organisation providing crisis accommodation, rental support, outreach, health and wellbeing links and long-term housing pathways.",https://www.launchhousing.org.au/,Launch Housing,official public webpage,verified-public-source
verified-bhhp-sumner-house-18,BHHP Sumner House,Housing / homelessness,Housing,housing; mental-health-aod; carer-family; identity-specific,aboriginal; homelessness,case-management; clinical,People aged 30 years and over experiencing chronic homelessness with physical or mental health issues and readiness for change. Priority for people over 40 and Aboriginal or Torres Strait Islander people.,SVHM with Launch Housing and Brotherhood of St Laurence,"Sumner House, Fitzroy.",Referrals: BHHPReferrals@svha.org.au.,"Residential integrated health and homelessness service for chronic homelessness and poor health, usually for 3 to 6 months.",https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/better-health-and-housing-program,,audited workbook,verified-public-source
verified-crisis-and-emergency-accommodation-19,Crisis and emergency accommodation,Housing / homelessness,Housing,housing; transport; family-violence; carer-family,urgent; homelessness,case-management; crisis,"People who are homeless, at risk of homelessness, or escaping family violence.",Victorian Government / funded homelessness services,Victoria,Call 1800 825 955 for homelessness help. If escaping family violence call Safe Steps on 1800 015 188. Call 000 if in immediate danger.,Statewide crisis and emergency accommodation entry information and after-hours pathways to local help.,https://www.housing.vic.gov.au/crisis-emergency-accommodation,,audited workbook,verified-public-source
verified-elizabeth-street-common-ground-20,Elizabeth Street Common Ground,Housing / homelessness,Housing,housing; disability; mental-health-aod,disability; homelessness,case-management; clinical,"Single adults with a history of homelessness and rough sleeping, plus factors such as mental illness, drug and alcohol dependency, disability/cognitive impairment or chronic health condition that create barriers to maintaining housing.",Launch Housing with Unison Community Housing and partners,Melbourne; referrals through homelessness access points across Victoria.,Referrals are through homelessness access points across Victoria.,"Permanent supportive housing initiative for long-term homelessness, providing studio apartments and ongoing 24-hour support to improve residents' health, wellbeing and lifestyle.",https://www.launchhousing.org.au/service/elizabeth-street-common-ground,,audited workbook,verified-public-source
verified-frontyard-youth-services-21,Frontyard Youth Services,Housing / homelessness,Housing,housing; transport; financial-legal; carer-family,young-person; homelessness,case-management; clinical; money; legal,"Young people aged 12 to 24 who are at risk of or experiencing homelessness in Melbourne CBD, Greater Melbourne or across Victoria.",Melbourne City Mission,"Melbourne CBD, Greater Melbourne and Victoria.",Enquire online or call 03 9977 0077; Frontyard contact details also list 1800 800 531 and frontyard@mcm.org.au.,"Specialist youth homelessness service with integrated support including statewide homelessness access point, case management, accommodation response, youth participation, health and wellbeing, legal and financial services, and assertive outreach.",https://www.mcm.org.au/services/homelessness/frontyard,,audited workbook,verified-public-source
verified-the-cottage-22,The Cottage,Housing / homelessness,Housing,post-acute; housing,homelessness; hospital-discharge,case-management; clinical; personal-care,"People who are homeless or at risk of homelessness, haemodynamically stable, able to attend activities of daily living, independently mobile, consenting and not in acute withdrawal.",Hospital (SVHM HITH with ALERT/HIP),Five-bed on-site Fitzroy campus facility.,Internal referral via Electronic Patient Journey Board. External referrals: HITHTeam.SVHM@svha.org.au.,"Acute HITH care in a cottage setting with homelessness, addiction and social vulnerability care coordination.",https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/hospital-in-the-home-hith-sr-francesca-healy-cottage,,audited workbook,verified-public-source
verified-disability-support-pension-23,Disability Support Pension,Income support,Financial,disability; financial-legal,disability,money,"People with a physical, intellectual or psychiatric condition likely to persist for more than 2 years and that stops them working, subject to medical and non-medical rules.",Services Australia,Australia,Claim through Services Australia / myGov.,Financial help for eligible people whose disability or medical condition prevents work.,https://www.servicesaustralia.gov.au/disability-support-pension,,audited workbook,verified-public-source
verified-jobseeker-payment-24,JobSeeker Payment,Income support,Financial,financial-legal; carer-family,,money,"People aged 22 to Age Pension age who are looking for work, or are sick or injured and cannot do usual work or study for a short time, subject to income, assets and residence rules.",Services Australia,Australia,Claim through Services Australia / myGov.,"Financial help for eligible people who are unemployed, looking for work, or temporarily unable to work or study due to sickness or injury.",https://www.servicesaustralia.gov.au/jobseeker-payment,,audited workbook,verified-public-source
directory-legal-victorian-legal-aid,Victorian Legal Aid,Legal,Legal,financial-legal,,legal,"Victorians needing legal information, advice, legal help chat, duty lawyer or representation depending on matter type and eligibility.",Victoria Legal Aid,Victoria,"Call 1300 792 387 or use Victoria Legal Aid online legal help chat. For court matters, check duty lawyer availability.","State legal assistance service helping Victorians with legal problems, legal information, advice, legal help chat and representation for people who need it most.",https://www.legalaid.vic.gov.au/,Victoria Legal Aid,official public webpage,verified-public-source
directory-legal-women-s-legal-service-victoria,Women’s Legal Service Victoria,Legal,Legal,financial-legal,,legal,"Women and non-binary people in Victoria, especially where family violence or sexual violence creates legal issues around safety, children, money, housing or immigration.",Women's Legal Service Victoria,Victoria,"Refer a client through the Women's Legal website, apply for legal help online, request secondary consultation, or call 1800 133 302 / 03 8622 0600.","Specialist legal service offering free legal information, client referral pathways, secondary consultation, court support information, training and advocacy for safer legal responses.",https://www.womenslegal.org.au/,Women's Legal Service Victoria,official public webpage,verified-public-source
directory-lgbtiqa-qlife-webchat-australia-wide,QLife WebChat Australia Wide,LGBTIQA+,Identity-specific,identity-specific,lgbtiqa,information,"LGBTIQ+ people in Australia wanting anonymous peer support about sexuality, gender, bodies, feelings or relationships.",QLife,Australia-wide,"Call 1800 184 527 or use QLife webchat, 3pm-9pm every day. QLife does not offer support by email.",Free anonymous LGBTIQ+ peer support and referral service by phone and webchat.,https://qlife.org.au/get-help,QLife Get Help,official public webpage,verified-public-source
directory-lgbtiqa-thorne-harbour-health,Thorne Harbour Health,LGBTIQA+,Identity-specific,identity-specific,lgbtiqa,information,"LGBTIQ+ communities and people living with HIV seeking health, mental health, AOD, family violence, disability, HIV or sexual health-related services.",Thorne Harbour Health,"Victoria, South Australia and selected online/telehealth services","Call 03 9865 6700, toll free 1800 134 840, email enquiries@thorneharbour.org, or use the contact form/service pages to find the right program.","Community-led HIV and LGBTIQ+ health organisation providing services across sexual health, mental health, AOD, family violence, disability, HIV support and peer programs.",https://thorneharbour.org/services/,Thorne Harbour Health services,official public webpage,verified-public-source
directory-mental-health-beyond-blue,Beyond Blue,Mental Health,MH/AOD,mental-health-aod,urgent,information,"Anyone in Australia seeking brief mental health support, including people feeling overwhelmed, experiencing anxiety or depression, or supporting someone else.",Beyond Blue,Australia,Call 1300 22 4636 for free confidential phone counselling 24/7. Webchat is also available through Beyond Blue.,"Free 24/7 telephone and online counselling service that can listen, provide brief support and point people toward the right mental health help.",https://www.beyondblue.org.au/get-support/talk-to-a-counsellor,Talk to a counsellor | Beyond Blue,pasted directory,verified-public-source
directory-mental-health-lifeline,Lifeline,Mental Health,MH/AOD,mental-health-aod,urgent,crisis,"Anyone in Australia experiencing crisis, distress, feeling overwhelmed, or needing short-term crisis support. If life is in danger call 000.",Lifeline Australia,Australia,"Call 13 11 14, text 0477 13 11 14, or use online chat. Phone, text and chat crisis support are available 24/7.","National crisis support service providing confidential short-term support by trained crisis supporters via phone, text and chat.",https://www.lifeline.org.au/about-us/our-services,Lifeline crisis support services,pasted directory,verified-public-source
verified-barbara-walker-centre-for-pain-management-bwcpm-25,Barbara Walker Centre for Pain Management (BWCPM),Pain management,Condition-specific,post-acute; disability; condition-specific,disability; hospital-discharge,clinical,People with persistent or chronic pain for more than 3 months that impacts daily activities; referrals assessed against statewide criteria.,Hospital (SVHM),,Medical referral required: BWCPM@svha.org.au.,Ambulatory outpatient interdisciplinary service for persistent and complex pain and related disability.,https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/barbara-walker-centre-for-pain-management-bwcpm,,audited workbook,verified-public-source
verified-inner-melbourne-post-acute-care-impac-26,Inner Melbourne Post Acute Care (IMPAC),Post-acute / transition care,Discharge,post-acute; housing; transport,hospital-discharge,case-management; clinical; personal-care,"People discharged home from a public hospital or public emergency department within the last 28 days, with a new need, living in City of Yarra, City of Boroondara, City of Melbourne, or Alphington, Fairfield, Northcote or Thornbury.",North Richmond Community Health; Victorian Government-supported,"City of Yarra, City of Boroondara, City of Melbourne, Alphington, Fairfield, Northcote and Thornbury.",Self-referral or hospital staff referral. Phone 03 9418 9954; IMPACreferrals@nrch.com.au.,"Short-term post-acute care coordination for up to 4 weeks after public hospital discharge, arranging home care, personal care, shopping assistance, nursing, physiotherapy, cleaning, respite or emergency accommodation where eligible.",https://nrch.com.au/services/impac/,,audited workbook,verified-public-source
verified-post-acute-care-27,Post-acute Care,Post-acute / transition care,Discharge,post-acute,hospital-discharge,information,"People needing short-term support after public hospital or emergency department discharge, with local access through Inner Melbourne Post Acute Care where eligible.",SVHM HIP / Inner Melbourne Post Acute Care via North Richmond Community Health,SVHM-connected inner Melbourne catchment; confirm current local eligibility before referral.,"For SVHM post-acute care, use Inner Melbourne Post Acute Care where eligible: phone 03 9418 9954; IMPACreferrals@nrch.com.au. Check local PAC eligibility and discharge timeframe before referral.",Post-acute support sits within HIP and supports transition from hospital to home. SVHM public information states SVHM receives PAC services through Inner Melbourne Post Acute Care delivered by North Richmond Community Health.,https://www.svhm.org.au/health-professionals/community-and-aged-care/health-independence-program,,audited workbook,verified-public-source
verified-community-rehabilitation-centres-28,Community Rehabilitation Centres,Rehabilitation,Rehabilitation,post-acute; transport; disability,disability; hospital-discharge,clinical,"People in Boroondara, Yarra and Darebin who are stable, have rehabilitation goals, can actively participate, and can safely travel to the centre for centre-based service.",Hospital (SVHM Community Rehabilitation),"Boroondara, Yarra and Darebin; centres at Kew and Fairfield.",Referrals to HIP Central Intake: phone 1300 131 470 option 1; HIPCentralReferrals@svha.org.au.,"Assessment and short-to-medium term rehabilitation for physical disability, frailty, chronic illness, recent change in function or recovery from injury or illness.",https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/community-rehabilitation-centres,,audited workbook,verified-public-source
